portfolio_id,valuation_date,isin,issuer_name,asset_type,currency,market_value,clean_price,coupon_rate,maturity_date,duration,credit_rating,sector,country
PF001,2026-05-15,XS1234567890,HSBC Holdings,Corporate Bond,USD,2500000,98.45,4.25,2030-06-15,4.2,A,Financials,UK
PF001,2026-05-15,US9876543210,JPMorgan Chase,Corporate Bond,USD,1800000,101.12,5.10,2032-09-20,5.8,A+,Financials,USA
PF001,2026-05-15,FR1122334455,BNP Paribas,Corporate Bond,EUR,1500000,97.88,3.75,2029-03-10,3.6,A-,Financials,France
PF002,2026-05-15,DE9988776655,Siemens AG,Corporate Bond,EUR,2200000,102.45,2.90,2031-11-05,5.1,A+,Industrials,Germany
PF002,2026-05-15,US5544332211,Apple Inc,Corporate Bond,USD,3000000,104.25,2.50,2033-08-12,6.4,AA+,Technology,USA
PF002,2026-05-15,XS6677889900,BP Capital Markets,Corporate Bond,GBP,1200000,95.72,6.20,2028-04-18,2.9,BBB+,Energy,UK
PF003,2026-05-15,US1029384756,Tesla Inc,Corporate Bond,USD,1700000,93.15,7.50,2035-01-15,7.2,BB+,Automotive,USA
PF003,2026-05-15,JP5647382910,Toyota Motor Corp,Corporate Bond,JPY,260000000,99.84,1.20,2030-10-01,4.5,A+,Automotive,Japan
PF003,2026-05-15,XS9182736450,Barclays PLC,Corporate Bond,GBP,2100000,96.88,5.75,2031-07-25,5.4,BBB+,Financials,UK
PF003,2026-05-15,US7463829101,Amazon.com Inc,Corporate Bond,USD,2800000,103.76,2.80,2034-05-30,6.8,AA,Technology,USA
