isin,valuation_date,market_price,spread,benchmark_yield,yield_to_maturity
XS1234567890,2026-05-15,98.45,120,3.20,4.45
US9876543210,2026-05-15,101.12,95,3.35,4.30
FR1122334455,2026-05-15,97.88,135,2.75,4.10
DE9988776655,2026-05-15,102.45,80,2.60,3.40
US5544332211,2026-05-15,104.25,60,3.10,3.70
XS6677889900,2026-05-15,95.72,210,4.05,6.10
US1029384756,2026-05-15,93.15,340,3.25,7.80
JP5647382910,2026-05-15,99.84,50,0.85,1.35
XS9182736450,2026-05-15,96.88,190,4.00,5.95
US7463829101,2026-05-15,103.76,70,3.15,3.85
